model_name,parameters,f1,accuracy,precision,recall,confusion_matrix,RQ,Window Size,Hop Length,Correlation Treshold
randomforest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.4014103879562518,0.4046961325966851,0.4009262889207635,0.4046961325966851,"[[ 84  80  87]
 [ 47 123  63]
 [ 88  66  86]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.4175373569247267,0.4185082872928177,0.4179550787266267,0.4185082872928177,"[[ 87  64 100]
 [ 47 121  65]
 [ 89  56  95]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.4001802783423612,0.4019337016574585,0.4013309298120252,0.4019337016574585,"[[ 80  67 104]
 [ 48 116  69]
 [ 82  63  95]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.4118412603244982,0.4143646408839779,0.4127734846419376,0.4143646408839779,"[[ 82  72  97]
 [ 46 120  67]
 [ 79  63  98]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.4134088354895165,0.4157458563535912,0.4138897819290967,0.4157458563535912,"[[ 81  75  95]
 [ 48 117  68]
 [ 82  55 103]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.4077111932259651,0.4102209944751381,0.4103752524786282,0.4102209944751381,"[[ 79  72 100]
 [ 43 115  75]
 [ 76  61 103]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.4142976078642818,0.4171270718232044,0.4164062712263088,0.4171270718232044,"[[ 81  73  97]
 [ 44 119  70]
 [ 74  64 102]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.3971489666922349,0.399171270718232,0.3965332264744726,0.399171270718232,"[[ 84  82  85]
 [ 50 116  67]
 [ 92  59  89]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.4070573085333832,0.4088397790055249,0.4065178158784649,0.4088397790055249,"[[ 90  75  86]
 [ 48 119  66]
 [ 91  62  87]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.4162570903646782,0.4185082872928177,0.4155329726024309,0.4185082872928177,"[[ 91  74  86]
 [ 46 124  63]
 [ 91  61  88]]",2,1.0,0.5,0.7
