Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,5,randomforest,50.0,0.43015626586117245,0.44517282479141834,0.44372446289376316,0.43421853626122014
2,5,randomforest,100.0,0.4361306618891814,0.4541120381406436,0.4596718505774757,0.44101323328138015
2,5,randomforest,200.0,0.43759287810178576,0.4564958283671037,0.46290090040605,0.44389605961104167
2,5,randomforest,500.0,0.4468818254881777,0.4696066746126341,0.47551100741656666,0.45555779882846964
2,5,gradientboosting,10.0,0.290189712107338,0.40464839094159716,0.48754532740924433,0.37098330177859995
2,5,gradientboosting,25.0,0.3514927782402571,0.4165673420738975,0.44142889271241453,0.39232384570148543
2,5,gradientboosting,50.0,0.38690711264688527,0.43146603098927294,0.4505073852745518,0.411085719299542
2,5,gradientboosting,100.0,0.41818744091027343,0.4410011918951132,0.45775481343274826,0.42679765965333255
2,5,gradientboosting,200.0,0.43881841845033415,0.45530393325387364,0.45299512621458193,0.4436783700248555
2,5,gradientboosting,500.0,0.44689317534879386,0.4547079856972586,0.4565753422110294,0.4473925047696437
2,5,extratrees,10.0,0.4021697165974516,0.41775923718712754,0.4085288229530049,0.40631240324968926
2,5,extratrees,25.0,0.41596647910759316,0.43563766388557806,0.4262313830659059,0.422242857193968
2,5,extratrees,50.0,0.44495241392557167,0.46185935637663883,0.46232029435610594,0.44957977691050327
2,5,extratrees,100.0,0.4477526687788946,0.4684147794994041,0.4719128727036555,0.45442661266972256
2,5,extratrees,200.0,0.44823580639708527,0.4690107270560191,0.4779048877419454,0.45503746809313506
2,5,extratrees,500.0,0.44316982817710615,0.46781883194278906,0.4775623636283077,0.4524496372333604
3,1,svm,0.001,0.32919005613472335,0.4907352062163778,0.2453676031081889,0.5
3,1,svm,0.01,0.6649628099098461,0.6706515242080096,0.6878768153004449,0.6732971928199322
3,1,svm,0.5,0.6871845184466467,0.6903765690376569,0.7022594533207549,0.6924861184974238
3,1,svm,1.0,0.6899671479582123,0.6927674835624626,0.7035584402389427,0.6947670595231968
3,1,svm,5.0,0.6907839368931429,0.6921697549312612,0.6981861835675283,0.6936483905462822
3,1,svm,10.0,0.6882989944851465,0.689181111775254,0.6933560971643933,0.6904038931110006
3,1,svm,20.0,0.6893241921789244,0.6897788404064554,0.6923971607067659,0.690724840312684
3,1,svm_rbf,0.001,0.32919005613472335,0.4907352062163778,0.2453676031081889,0.5
3,1,svm_rbf,0.01,0.6649628099098461,0.6706515242080096,0.6878768153004449,0.6732971928199322
3,1,svm_rbf,0.5,0.6871845184466467,0.6903765690376569,0.7022594533207549,0.6924861184974238
3,1,svm_rbf,1.0,0.6899671479582123,0.6927674835624626,0.7035584402389427,0.6947670595231968
3,1,svm_rbf,5.0,0.6907839368931429,0.6921697549312612,0.6981861835675283,0.6936483905462822
3,1,svm_rbf,10.0,0.6882989944851465,0.689181111775254,0.6933560971643933,0.6904038931110006
3,1,svm_rbf,20.0,0.6893241921789244,0.6897788404064554,0.6923971607067659,0.690724840312684
3,1,randomforest,10.0,0.6752755837711879,0.6766288105200239,0.6777781635936433,0.6756646251851344
3,1,randomforest,25.0,0.6874540113550796,0.6879856545128512,0.6908692274816919,0.6889864358706033
3,1,randomforest,50.0,0.6856101755886812,0.6861924686192469,0.6892321074564065,0.6872258724903215
3,1,randomforest,100.0,0.6949500507427282,0.6957561267184699,0.6998223169864961,0.6969479279248368
3,1,randomforest,200.0,0.6931709092367959,0.6939629408248655,0.6979331005521785,0.6951430466681534
3,1,randomforest,500.0,0.700706443315139,0.7017334130304842,0.7067976996432992,0.7030602208459853
3,1,gradientboosting,10.0,0.6795347424749644,0.6814106395696354,0.6885487528344671,0.6830628513263912
3,1,gradientboosting,25.0,0.6837142668192508,0.6855947399880454,0.6929529558725613,0.6872594682998519
3,1,gradientboosting,50.0,0.6920338492243334,0.6933652121936641,0.6992398922778669,0.69482209946647
3,1,gradientboosting,100.0,0.688528471391936,0.6897788404064554,0.6952435873103932,0.6911901780149022
3,1,gradientboosting,200.0,0.6995486632495888,0.7005379557680813,0.7054226684126291,0.7018421940493959
