Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,2,gradientboosting,500.0,0.3660781510689924,0.3668005354752343,0.3678160204337404,0.36808559995723944
2,2,extratrees,10.0,0.331000218475327,0.3333333333333333,0.3318981577146969,0.3327712040772786
2,2,extratrees,25.0,0.29966030016697404,0.30120481927710846,0.29967670346535513,0.3001151426940088
2,2,extratrees,50.0,0.34638610291261074,0.3467202141900937,0.3462906126523629,0.34658309684156974
2,2,extratrees,100.0,0.3339819278015568,0.3333333333333333,0.334270156431409,0.33404347324555017
2,2,extratrees,200.0,0.33652511698676396,0.3373493975903614,0.33684528868846986,0.336717931566642
2,2,extratrees,500.0,0.3039315679550246,0.3038821954484605,0.30407904282388615,0.3038368931214576
2,5,svm,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm,0.5,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm,1.0,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm,5.0,0.20246177623226805,0.37842669845053634,0.257776829528483,0.3376648730813962
2,5,svm,10.0,0.2027133193165024,0.37902264600715135,0.26104125431753794,0.33819313509935706
2,5,svm,20.0,0.2037110951738058,0.37842669845053634,0.24405558166720898,0.337795372591762
2,5,svm_rbf,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm_rbf,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm_rbf,0.5,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm_rbf,1.0,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm_rbf,5.0,0.20246177623226805,0.37842669845053634,0.257776829528483,0.3376648730813962
2,5,svm_rbf,10.0,0.2027133193165024,0.37902264600715135,0.26104125431753794,0.33819313509935706
2,5,svm_rbf,20.0,0.2037110951738058,0.37842669845053634,0.24405558166720898,0.337795372591762
2,5,randomforest,10.0,0.41134198352508217,0.4272943980929678,0.4185565924142083,0.4154303118932701
2,5,randomforest,25.0,0.4059160276099636,0.42193087008343266,0.414462326605471,0.41069477846690655
2,5,randomforest,50.0,0.4138909426998772,0.432657926102503,0.42646475764744496,0.4201555886852886
2,5,randomforest,100.0,0.4338690640480715,0.4535160905840286,0.45328818520075354,0.4399603294610805
2,5,randomforest,200.0,0.42459740945715313,0.4445768772348033,0.44534068768269547,0.4309444970038258
2,5,randomforest,500.0,0.4323376748837189,0.4541120381406436,0.45300667209260786,0.44017175507076906
2,5,gradientboosting,10.0,0.3020722324354002,0.398688915375447,0.4150699343112007,0.3676713930588556
2,5,gradientboosting,25.0,0.36926400571268303,0.41835518474374256,0.4356181728221953,0.39611358621805365
2,5,gradientboosting,50.0,0.4004651376991803,0.43504171632896305,0.44810713284673187,0.417099524617445
2,5,gradientboosting,100.0,0.41461714880205375,0.43921334922526817,0.44195540867814453,0.424688231797111
2,5,gradientboosting,200.0,0.43289692815775377,0.44874851013110845,0.45032772962306095,0.43760120128480295
2,5,gradientboosting,500.0,0.4282220573658138,0.4404052443384982,0.43595258012560395,0.43078601222322965
